label,jsonl_data
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 1.1 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Present <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium Dioxide ( TiO 2 ) - Rutile Type', 'label': []}"
multi,"{'data': 'Typical Properties: | TiO 2 Content 95 % Oil Absorption 19 pH ( 10 % suspension ) 7.5 Specific Gravity 4.1 Density 34.2 Ibs/gal <header> <> | <> </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 4.1 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 4.1 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Oil Absorption pH . Specific resistance, ohms | 8,000', 'label': []}"
multi,"{'data': 'absorption: gravity: | 21 g/ 100 g 4.0', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 7.4 4.1', 'label': []}"
multi,"{'data': 'Oil Absorption pH . Specific resistance, ohms | 8,000', 'label': []}"
multi,"{'data': ' | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica <header> <Applications> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> </header>', 'label': []}"
multi,"{'data': 'treatment: Oil absorption: | Alumina, silica, organic 21 g/ 100 g', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium Dioxide ( TiO 2 ) - Rutile Type', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium Dioxide ( TiO 2 ) - Rutile Type ISO 591 : R 2 ISO Certified -', 'label': []}"
multi,"{'data': 'treatment: Oil absorption: | Alumina, silica, organic 35 g/ 100 g', 'label': []}"
multi,"{'data': 'Mass fraction of titanium dioxide, than Mass fraction of rutile, not less | 92 98', 'label': []}"
multi,"{'data': ' | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica <header> <Applications> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> </header>', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium Dioxide ( TiO 2 ) - Rutile Type', 'label': []}"
multi,"{'data': ' ( g/ 100 g ) Gravity ( g/cm 3 ) | 4.1', 'label': [[24, 30, 'unit'], [35, 38, 'mean']]}"
multi,"{'data': ' ( g/ 100 g ) Gravity ( g/cm 3 ) | 4.1', 'label': [[24, 30, 'unit'], [35, 38, 'mean']]}"
multi,"{'data': 'Typical Properties: | TIO 2 Content Oli Absorption | 93 % 19', 'label': []}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91 Content of rutile, % ≥ 98', 'label': []}"
multi,"{'data': 'treatment: Oil absorption: | Alumina, silica, organic 21 g/ 100 g', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 25 / 100 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Oil Absorption pH . Specific resistance, ohms | 8,000', 'label': []}"
multi,"{'data': ' | • Bulk density: • Particle size* | • Bulk density: • Particle size* | 1.1 kg/l or 69 lbs/cu.ft.', 'label': []}"
multi,"{'data': 'Oil Absorption pH . Specific resistance, ohms | 8,000', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium Dioxide ( TiO 2 ) - Rutile Type', 'label': []}"
multi,"{'data': 'absorption: gravity: | 21 g/ 100 g 4.0', 'label': []}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 7.4 4.1', 'label': []}"
multi,"{'data': 'Typical Properties: | • TiO 2 content 94 % • Surface treatment: Alumina, silica, organic • Oil absorption: 20 g/ 100 g • pH ( 10 % suspension ) : 7.8 • Specific gravity: 4.0 | LATIN AMERICA LWM Corporate Center Rua George Ohm, 206 – Tower A 2 nd Floor <header> <> | <> | <ASIA/PACIFIC> </header>', 'label': []}"
multi,"{'data': 'Mass fraction of titanium dioxide, than Mass fraction of rutile, not less | 92 98', 'label': []}"
multi,"{'data': 'Typical Properties: | • TiO 2 content 94 % • Surface treatment: Alumina, silica, organic • Oil absorption: 20 g/ 100 g • pH ( 10 % suspension ) : 7.8 • Specific gravity: 4.0 | LATIN AMERICA LWM Corporate Center Rua George Ohm, 206 – Tower A 2 nd Floor <header> <> | <> | <ASIA/PACIFIC> </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 1.1 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': ' ( g/ 100 g ) Gravity ( g/cm 3 ) | 4.1', 'label': [[24, 30, 'unit'], [35, 38, 'mean']]}"
multi,"{'data': ' | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica <header> <Applications> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> </header>', 'label': []}"
multi,"{'data': 'Typical Properties: | TiO 2 Content 95 % Oil Absorption 19 pH ( 10 % suspension ) 7.5 Specific Gravity 4.1 Density 34.2 Ibs/gal <header> <> | <> </header>', 'label': []}"
multi,"{'data': ' ( g/ 100 g ) Gravity ( g/cm 3 ) | 4.1', 'label': [[24, 30, 'unit'], [35, 38, 'mean']]}"
multi,"{'data': 'pH: Specific gravity: | 8.5 3.8', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Present <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 1.1 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Alumina, Zirconia <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Typical Properties: | TiO 2 Content 95 % Oil Absorption 19 pH ( 10 % suspension ) 7.5 Specific Gravity 4.1 Density 34.2 Ibs/gal <header> <> | <> </header>', 'label': []}"
multi,"{'data': 'Typical Properties: | TiO 2 Content 95 % Oil Absorption 19 pH ( 10 % suspension ) 7.5 Specific Gravity 4.1 Density 34.2 Ibs/gal <header> <> | <> </header>', 'label': []}"
multi,"{'data': 'Typical Properties: | TiO 2 Content 95 % Oil Absorption 19 pH ( 10 % suspension ) 7.5 Specific Gravity 4.1 Density 34.2 Ibs/gal <header> <> | <> </header>', 'label': []}"
multi,"{'data': ' | • Bulk density: • Particle size* - Disc Centrifuge – mean diameter ( Dn ) : - Light Scatter – calculated mean ( OD ) : *Particle Size results are dependent upon the measurement representative for additional information. | technique. Please contact your local Tronox Technical Service 1.1 kg/l or 69 lbs/cu.ft. 0.20 µm 0.28 µm <header> <Description:> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> </header>', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 8.5 3.8', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 8.5 3.8', 'label': []}"
multi,"{'data': 'content: absorption: | 91 % 19 g/ 100 g', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 4.1 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium Dioxide ( TiO 2 ) - Rutile Type', 'label': []}"
multi,"{'data': 'Typical Properties: | • TiO 2 content 94 % • Surface treatment: Alumina, silica, organic • Oil absorption: 20 g/ 100 g • pH ( 10 % suspension ) : 7.8 • Specific gravity: 4.0 | LATIN AMERICA LWM Corporate Center Rua George Ohm, 206 – Tower A 2 nd Floor <header> <> | <> | <ASIA/PACIFIC> </header>', 'label': []}"
multi,"{'data': ' ( g/ 100 g ) Gravity ( g/cm 3 ) | 4.1', 'label': [[24, 30, 'unit'], [35, 38, 'mean']]}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 25 / 100 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 7.5 4.0', 'label': []}"
multi,"{'data': 'Typical Properties: | • TiO 2 content 94 % • Surface treatment: Alumina, silica, organic • Oil absorption: 20 g/ 100 g • pH ( 10 % suspension ) : 7.8 • Specific gravity: 4.0 | LATIN AMERICA LWM Corporate Center Rua George Ohm, 206 – Tower A 2 nd Floor <header> <> | <> | <ASIA/PACIFIC> </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 4.1 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Present <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Present <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': 'absorption: gravity: | 21 g/ 100 g 4.0', 'label': []}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91', 'label': []}"
multi,"{'data': ' | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica <header> <Applications> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> </header>', 'label': []}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91', 'label': []}"
multi,"{'data': 'Typical Properties: | TIO 2 Content Oli Absorption | 93 % 19', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium dioxide ( TiO 2 ) /Rutile R type <header> <Chemical Element> | <Titanium dioxide ( TiO 2 ) /Rutile R type> </header>', 'label': []}"
multi,"{'data': 'Typical Properties: | • TiO 2 content 94 % • Surface treatment: Alumina, silica, organic • Oil absorption: 20 g/ 100 g • pH ( 10 % suspension ) : 7.8 • Specific gravity: 4.0 | LATIN AMERICA LWM Corporate Center Rua George Ohm, 206 – Tower A 2 nd Floor <header> <> | <> | <ASIA/PACIFIC> </header>', 'label': []}"
multi,"{'data': 'Typical Properties: | TiO 2 Content 95 % Oil Absorption 19 pH ( 10 % suspension ) 7.5 Specific Gravity 4.1 Density 34.2 Ibs/gal <header> <> | <> </header>', 'label': []}"
multi,"{'data': 'content: absorption: | 91 % 19 g/ 100 g', 'label': []}"
multi,"{'data': ' | • Bulk density: • Particle size* | • Bulk density: • Particle size* | 1.1 kg/l or 69 lbs/cu.ft.', 'label': []}"
multi,"{'data': 'absorption: gravity: | 21 g/ 100 g 4.0', 'label': []}"
multi,"{'data': ' | • Bulk density: • Particle size* - Disc Centrifuge – mean diameter ( Dn ) : - Light Scatter – calculated mean ( OD ) : *Particle Size results are dependent upon the measurement representative for additional information. | technique. Please contact your local Tronox Technical Service 1.1 kg/l or 69 lbs/cu.ft. 0.20 µm 0.28 µm <header> <Description:> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> </header>', 'label': []}"
multi,"{'data': ' | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica | Oil Absorption 21 Retained on 325 Mesh 0.01 % maximum Chalk Resistance High Exterior Durability Recommended Inorganic Surface Treatment Alumina and Silica <header> <Applications> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> </header>', 'label': []}"
multi,"{'data': 'Typical Properties: | • TiO 2 content 94 % • Surface treatment: Alumina, silica, organic • Oil absorption: 20 g/ 100 g • pH ( 10 % suspension ) : 7.8 • Specific gravity: 4.0 | LATIN AMERICA LWM Corporate Center Rua George Ohm, 206 – Tower A 2 nd Floor <header> <> | <> | <ASIA/PACIFIC> </header>', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 7.4 4.1', 'label': []}"
multi,"{'data': 'Oil Absorption pH . Specific resistance, ohms | 8,000', 'label': []}"
multi,"{'data': ' | • Bulk density: • Particle size* - Disc Centrifuge – mean diameter ( Dn ) : - Light Scatter – calculated mean ( OD ) : *Particle Size results are dependent upon the measurement representative for additional information. | technique. Please contact your local Tronox Technical Service 1.1 kg/l or 69 lbs/cu.ft. 0.20 µm 0.28 µm <header> <Description:> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> </header>', 'label': []}"
multi,"{'data': 'Mass fraction of titanium dioxide, than Mass fraction of rutile, not less | 92 98', 'label': []}"
multi,"{'data': 'Typical Properties: | TiO 2 Content 95 % Oil Absorption 19 pH ( 10 % suspension ) 7.5 Specific Gravity 4.1 Density 34.2 Ibs/gal <header> <> | <> </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 18 / 100 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
multi,"{'data': ' | • Bulk density: • Particle size* | • Bulk density: • Particle size* | 1.1 kg/l or 69 lbs/cu.ft.', 'label': []}"
multi,"{'data': 'content: absorption: | 91 % 19 g/ 100 g', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium Dioxide ( TiO 2 ) - Rutile Type ISO 591 : R 2 ISO Certified -', 'label': []}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 7.4 4.1', 'label': []}"
multi,"{'data': 'treatment: Oil absorption: | Alumina, silica, organic 21 g/ 100 g', 'label': []}"
multi,"{'data': 'Chemical Element | Titanium dioxide ( TiO 2 ) /Rutile R type <header> <Chemical Element> | <Titanium dioxide ( TiO 2 ) /Rutile R type> </header>', 'label': []}"
multi,"{'data': ' ( g/ 100 g ) Gravity ( g/cm 3 ) | 4.1', 'label': [[24, 30, 'unit'], [35, 38, 'mean']]}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91 Content of rutile, % ≥ 98', 'label': []}"
multi,"{'data': ' | • Bulk density: • Particle size* | • Bulk density: • Particle size* | 1.1 kg/l or 69 lbs/cu.ft.', 'label': []}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91 Content of rutile, % ≥ 98', 'label': []}"
multi,"{'data': ' | • Bulk density: • Particle size* - Disc Centrifuge – mean diameter ( Dn ) : - Light Scatter – calculated mean ( OD ) : *Particle Size results are dependent upon the measurement representative for additional information. | technique. Please contact your local Tronox Technical Service 1.1 kg/l or 69 lbs/cu.ft. 0.20 µm 0.28 µm <header> <Description:> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> | <multipurpose chloride - process pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range of coating applications.> </header>', 'label': []}"
multi,"{'data': 'Mass fraction of titanium dioxide, than Mass fraction of rutile, not less | 92 98', 'label': []}"
multi,"{'data': 'treatment: Oil absorption: | Alumina, silica, organic 35 g/ 100 g', 'label': []}"
multi,"{'data': 'Typical Properties: | • TiO 2 content 94 % • Surface treatment: Alumina, silica, organic • Oil absorption: 20 g/ 100 g • pH ( 10 % suspension ) : 7.8 • Specific gravity: 4.0 | LATIN AMERICA LWM Corporate Center Rua George Ohm, 206 – Tower A 2 nd Floor <header> <> | <> | <ASIA/PACIFIC> </header>', 'label': []}"
multi,"{'data': 'Mass fraction of titanium dioxide, than Mass fraction of rutile, not less | 92 98', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 7.5 4.0', 'label': []}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91 Content of rutile, % ≥ 98', 'label': []}"
multi,"{'data': 'treatment: Oil absorption: | Alumina, silica, organic 21 g/ 100 g', 'label': []}"
